Epoch,MSE,PSNR,Time_Per_Epoch
0,36.024795951782224,-15.566015296035566,975.0175201892853
1,25.85538966946411,-14.125510874580314,979.5460302829742
2,21.031654478759766,-13.228734382941683,979.5878841876984
3,18.281290283439635,-12.620068447458653,980.2288467884064
4,16.442836179412843,-12.159767299213742,955.5919964313507
5,15.14119915286255,-11.801602717854562,952.5049152374268
6,14.161462137725831,-11.511080955545934,952.6400971412659
7,13.391340997898102,-11.268240690826952,952.1841022968292
8,12.759836187367757,-11.058450988852284,939.7241876125336
9,12.237793395248413,-10.87703116938669,938.0225813388824
10,11.798887934990622,-10.718410762504945,937.9451470375061
11,11.423096466485342,-10.577838443674937,937.0336649417877
12,11.09685609837576,-10.451999542348801,936.4198625087738
13,10.809788282494681,-10.338171880657331,938.8505029678345
14,10.554522120865885,-10.23438574453783,937.692390203476
15,10.32571888114643,-10.139202971562181,936.4598805904388
